agent_id,customer_id,customer_phone,amount,timestamp,payment_method,remittance_status,branch
AGT047,CUST0478,+233174042569,325.89,2026-03-31 00:23:37,cash,remitted,Kumasi
AGT014,CUST0087,+233726302395,984.79,2026-03-24 10:35:35,cash,remitted,Accra
AGT003,CUST0298,+233653665425,871.37,2026-04-01 14:10:04,cash,remitted,Cape_Coast
AGT001,CUST0428,+233687991003,1201.88,2026-02-20 22:40:14,cash,pending,Kumasi
AGT005,CUST0014,+233128820898,1999.12,2026-05-08 15:12:31,cash,pending,Takoradi
AGT026,CUST0334,+233489141930,1543.51,2026-03-27 19:28:35,cash,pending,Takoradi
AGT014,CUST0002,+233683576558,807.77,2026-01-27 13:43:11,cash,pending,Kumasi
AGT039,CUST0375,+233408000222,1658.56,2026-01-10 04:29:20,cash,remitted,Kumasi
AGT027,CUST0293,+233279187162,358.0,2026-03-05 16:50:24,momo,remitted,Kumasi
AGT009,CUST0325,+233785600893,80.32,2026-03-27 05:24:52,cash,remitted,Tamale
AGT015,CUST0422,+233512268938,424.81,2026-02-28 07:03:18,cash,missed,Cape_Coast
AGT015,CUST0493,+233362927152,694.01,2026-01-30 20:40:05,momo,pending,Cape_Coast
AGT026,CUST0041,+233534908016,1030.95,2026-02-26 16:48:34,bank_transfer,remitted,Takoradi
AGT042,CUST0318,+233860727333,1237.96,2026-05-12 01:24:40,bank_transfer,pending,Takoradi
AGT013,CUST0316,+233517210943,1823.0,2026-06-01 01:39:41,momo,pending,Takoradi
AGT032,CUST0381,+233554318404,1029.51,2026-01-30 09:30:01,cash,missed,Accra
AGT039,CUST0111,+233233510535,1012.53,2026-04-27 07:11:28,momo,pending,Takoradi
AGT049,CUST0014,+233592176289,119.48,2026-02-08 04:48:00,momo,remitted,Kumasi
AGT032,CUST0231,+233493948847,89.12,2026-06-07 23:36:06,cash,remitted,Takoradi
AGT004,CUST0473,+233444548791,1111.3,2026-01-22 11:04:28,momo,remitted,Kumasi
AGT030,CUST0084,+233356359909,887.59,2026-02-03 17:46:13,bank_transfer,remitted,Tamale
AGT037,CUST0130,+233976180288,1681.58,2026-04-04 17:16:51,cash,remitted,Accra
AGT023,CUST0231,+233552084766,338.15,2026-05-29 17:30:00,cash,remitted,Accra
AGT039,CUST0326,+233908631683,69.44,2026-03-27 12:31:44,cash,pending,Cape_Coast
AGT045,CUST0145,+233818804592,909.1,2026-01-20 13:53:26,cash,remitted,Tamale
AGT015,CUST0379,+233703670380,490.21,2026-01-02 04:33:02,cash,missed,Kumasi
AGT043,CUST0345,+233218269303,118.24,2026-03-20 03:46:52,momo,remitted,Tamale
AGT029,CUST0028,+233123429562,1454.7,2026-03-24 14:16:45,momo,remitted,Accra
AGT036,CUST0066,+233237064002,240.95,2025-12-26 21:58:09,cash,remitted,Kumasi
AGT013,CUST0163,+233683209516,1224.47,2026-02-27 15:24:35,bank_transfer,remitted,Tamale
AGT032,CUST0229,+233676413443,576.48,2026-05-18 14:30:09,cash,remitted,Accra
AGT007,CUST0261,+233526499737,363.52,2026-05-24 00:17:35,cash,remitted,Kumasi
AGT022,CUST0449,+233267486618,771.91,2026-04-17 18:52:08,momo,remitted,Kumasi
AGT028,CUST0424,+233997064365,1606.86,2026-03-31 09:45:01,momo,remitted,Accra
AGT002,CUST0460,+233232954101,796.35,2026-05-28 14:08:08,momo,remitted,Kumasi
AGT042,CUST0440,+233854356586,1506.52,2026-02-01 06:10:45,bank_transfer,pending,Accra
AGT045,CUST0164,+233692648639,268.46,2026-01-01 01:26:37,momo,remitted,Takoradi
AGT006,CUST0301,+233805019866,1550.09,2026-03-10 10:57:57,bank_transfer,remitted,Takoradi
AGT028,CUST0407,+233787301865,489.13,2026-06-05 23:12:08,cash,pending,Kumasi
AGT028,CUST0303,+233724635442,1361.24,2026-05-28 20:40:28,momo,remitted,Kumasi
AGT044,CUST0287,+233200296497,1140.25,2026-03-02 02:55:31,bank_transfer,missed,Accra
AGT044,CUST0395,+233371468805,1859.71,2026-02-16 11:15:02,momo,pending,Kumasi
AGT020,CUST0010,+233126687290,786.9,2026-02-22 00:08:40,cash,pending,Cape_Coast
AGT030,CUST0195,+233731625852,151.01,2026-01-15 03:28:26,momo,remitted,Takoradi
AGT011,CUST0118,+233995599502,57.93,2026-01-13 04:20:45,momo,pending,Kumasi
AGT028,CUST0270,+233268555037,1657.18,2026-06-09 03:53:08,cash,pending,Kumasi
AGT025,CUST0080,+233658550953,1058.98,2026-01-29 19:25:07,bank_transfer,remitted,Tamale
AGT039,CUST0458,+233744602340,1554.98,2026-01-15 06:09:43,cash,remitted,Kumasi
AGT033,CUST0093,+233467134841,484.16,2026-05-04 14:17:54,cash,remitted,Cape_Coast
AGT001,CUST0266,+233598813052,703.27,2026-05-16 03:10:25,bank_transfer,pending,Takoradi
AGT027,CUST0332,+233617101092,79.61,2026-06-11 17:55:30,cash,remitted,Tamale
AGT013,CUST0350,+233984414633,1923.75,2026-06-20 08:29:49,cash,pending,Accra
AGT041,CUST0361,+233636027259,1342.38,2026-01-24 19:57:19,momo,remitted,Accra
AGT003,CUST0257,+233374734948,1867.75,2026-02-16 22:59:58,momo,pending,Takoradi
AGT039,CUST0133,+233694439254,545.68,2026-05-08 07:12:51,cash,remitted,Accra
AGT006,CUST0276,+233933772165,1230.7,2026-06-11 08:28:51,bank_transfer,remitted,Cape_Coast
AGT008,CUST0264,+233542136259,1363.43,2026-06-14 19:37:57,momo,remitted,Kumasi
AGT027,CUST0171,+233429455611,648.75,2026-02-12 14:31:46,momo,remitted,Takoradi
AGT009,CUST0460,+233294910408,1699.26,2026-02-28 16:29:31,momo,remitted,Tamale
AGT037,CUST0001,+233478823452,1895.38,2026-03-24 14:05:43,momo,remitted,Kumasi
AGT033,CUST0313,+233264950092,1772.01,2026-02-04 22:13:33,cash,remitted,Accra
AGT042,CUST0064,+233559034682,1483.35,2026-03-06 00:54:56,cash,missed,Accra
AGT044,CUST0374,+233751049597,569.38,2026-02-02 15:31:56,momo,pending,Tamale
AGT024,CUST0468,+233699070195,577.6,2026-02-19 18:55:03,momo,remitted,Cape_Coast
AGT015,CUST0284,+233232876176,1927.45,2026-05-05 13:54:04,cash,remitted,Tamale
AGT032,CUST0121,+233682019180,40.36,2026-04-30 22:33:44,momo,remitted,Takoradi
AGT032,CUST0107,+233488209647,1437.78,2026-02-18 23:42:32,momo,pending,Tamale
AGT024,CUST0421,+233201098773,1418.37,2026-02-19 22:59:48,cash,remitted,Accra
AGT041,CUST0175,+233277844291,1252.93,2026-01-07 00:13:27,cash,remitted,Cape_Coast
AGT049,CUST0485,+233762047908,1980.42,2026-05-27 09:05:00,cash,remitted,Cape_Coast
AGT049,CUST0204,+233330689072,637.52,2026-01-28 09:35:48,momo,pending,Tamale
AGT012,CUST0165,+233238545036,693.14,2026-06-13 14:59:21,cash,remitted,Takoradi
AGT039,CUST0305,+233279120801,176.3,2026-03-08 05:48:07,cash,pending,Accra
AGT002,CUST0497,+233823001708,896.74,2026-06-03 09:26:50,momo,remitted,Kumasi
AGT003,CUST0120,+233151117909,536.88,2026-05-03 07:32:42,momo,remitted,Cape_Coast
AGT049,CUST0044,+233459273850,699.91,2026-05-11 01:20:01,cash,remitted,Tamale
AGT037,CUST0312,+233480315990,1672.45,2026-04-28 14:53:22,cash,remitted,Takoradi
AGT049,CUST0156,+233917939378,1872.26,2026-03-20 15:09:48,momo,remitted,Takoradi
AGT017,CUST0367,+233556063874,387.75,2026-06-05 22:17:49,bank_transfer,remitted,Accra
AGT049,CUST0207,+233324769577,757.57,2026-06-04 02:35:06,bank_transfer,remitted,Cape_Coast
AGT002,CUST0390,+233429917793,1858.69,2026-05-04 17:13:19,momo,remitted,Accra
AGT002,CUST0108,+233140093087,142.38,2026-03-07 02:45:00,cash,remitted,Kumasi
AGT028,CUST0251,+233997707116,202.87,2026-06-11 22:57:39,cash,missed,Kumasi
AGT023,CUST0445,+233935903026,342.33,2026-04-05 18:28:29,cash,remitted,Kumasi
AGT037,CUST0404,+233860943353,1198.52,2026-03-03 04:11:14,cash,remitted,Takoradi
AGT032,CUST0370,+233347594480,317.94,2026-03-15 11:12:42,momo,remitted,Cape_Coast
AGT033,CUST0334,+233131981908,1936.79,2026-03-19 15:11:10,cash,remitted,Accra
AGT001,CUST0130,+233497061037,904.49,2026-02-27 02:06:18,cash,remitted,Accra
AGT019,CUST0457,+233861872766,1013.01,2026-06-07 11:37:24,bank_transfer,remitted,Kumasi
AGT002,CUST0293,+233186963179,508.38,2026-05-25 14:30:27,cash,remitted,Cape_Coast
AGT044,CUST0020,+233446554506,952.5,2026-01-24 19:36:16,cash,remitted,Cape_Coast
AGT026,CUST0282,+233347857510,1330.59,2026-02-14 19:42:33,cash,pending,Tamale
AGT032,CUST0285,+233292533315,1507.33,2025-12-24 01:32:53,momo,remitted,Cape_Coast
AGT006,CUST0001,+233517801714,1512.66,2025-12-29 06:52:34,momo,remitted,Cape_Coast
AGT032,CUST0119,+233809709184,1164.22,2026-05-27 16:04:41,cash,remitted,Accra
AGT004,CUST0035,+233445605723,1810.63,2026-04-07 14:43:31,momo,remitted,Cape_Coast
AGT011,CUST0198,+233456415422,1638.47,2026-06-11 23:37:40,momo,pending,Cape_Coast
AGT017,CUST0485,+233697845271,1518.96,2026-02-05 10:18:48,momo,remitted,Accra
AGT038,CUST0245,+233933411554,130.1,2026-01-17 14:41:28,bank_transfer,remitted,Cape_Coast
AGT024,CUST0059,+233746484876,33.62,2026-06-01 13:49:57,momo,remitted,Accra
AGT005,CUST0325,+233642172270,440.65,2026-05-08 09:55:56,momo,remitted,Tamale
AGT034,CUST0161,+233386718817,1333.78,2026-01-23 16:50:26,cash,remitted,Takoradi
AGT006,CUST0497,+233990385379,834.17,2026-02-20 21:45:34,cash,remitted,Accra
AGT022,CUST0179,+233751884978,816.76,2026-05-16 06:03:58,cash,remitted,Accra
AGT011,CUST0206,+233239106812,1771.48,2026-03-17 01:00:37,momo,remitted,Cape_Coast
AGT048,CUST0012,+233659697659,1793.21,2026-05-20 02:17:16,momo,remitted,Accra
AGT016,CUST0490,+233316850257,1820.17,2026-02-06 21:54:05,momo,remitted,Kumasi
AGT033,CUST0276,+233630024551,641.48,2026-02-26 13:51:08,cash,remitted,Kumasi
AGT009,CUST0181,+233425657813,1388.29,2026-02-18 04:36:43,momo,pending,Tamale
AGT006,CUST0242,+233397973496,557.83,2026-03-21 03:24:59,bank_transfer,remitted,Accra
AGT016,CUST0216,+233282627991,397.41,2026-03-11 06:45:13,momo,remitted,Cape_Coast
AGT029,CUST0251,+233618232825,385.57,2026-05-27 13:48:42,momo,remitted,Cape_Coast
AGT003,CUST0299,+233964628900,697.37,2026-03-20 12:47:14,momo,remitted,Takoradi
AGT020,CUST0126,+233723361876,871.32,2026-03-13 20:25:32,bank_transfer,remitted,Tamale
AGT036,CUST0482,+233735587079,1665.28,2026-03-07 18:50:46,momo,missed,Cape_Coast
AGT019,CUST0217,+233269477403,257.38,2026-06-15 21:15:30,momo,pending,Takoradi
AGT026,CUST0306,+233540482308,1475.15,2026-02-19 11:22:36,cash,remitted,Cape_Coast
AGT003,CUST0285,+233284789155,1072.28,2026-01-19 01:47:00,cash,remitted,Takoradi
AGT019,CUST0185,+233774064245,590.13,2026-03-03 01:04:45,momo,remitted,Kumasi
AGT020,CUST0039,+233668535038,995.78,2026-02-16 08:58:41,cash,remitted,Kumasi
AGT032,CUST0223,+233499494234,613.89,2026-02-27 07:26:33,bank_transfer,pending,Cape_Coast
AGT007,CUST0184,+233784852340,1200.24,2026-03-16 07:27:21,cash,remitted,Tamale
AGT041,CUST0495,+233525719649,879.01,2026-02-02 01:04:41,bank_transfer,remitted,Accra
AGT033,CUST0427,+233544360501,345.52,2026-02-12 13:52:35,cash,remitted,Tamale
AGT040,CUST0178,+233243394476,250.83,2026-02-13 00:39:35,cash,remitted,Tamale
AGT039,CUST0407,+233995356462,1102.46,2026-05-14 02:32:42,bank_transfer,pending,Accra
AGT018,CUST0428,+233615263627,1806.78,2026-03-28 09:20:21,cash,remitted,Kumasi
AGT040,CUST0294,+233263129589,701.04,2026-01-15 00:37:28,cash,remitted,Kumasi
AGT001,CUST0340,+233661147540,1471.34,2026-01-11 15:17:25,cash,remitted,Accra
AGT011,CUST0151,+233273988234,1324.15,2026-05-10 05:19:43,momo,pending,Takoradi
AGT028,CUST0384,+233311838438,1864.48,2026-02-12 20:54:09,cash,pending,Tamale
AGT025,CUST0126,+233636101339,1645.54,2026-05-20 08:14:47,momo,remitted,Cape_Coast
AGT050,CUST0301,+233347995908,1141.88,2026-02-19 06:10:14,momo,remitted,Kumasi
AGT023,CUST0308,+233289883344,1320.92,2026-02-10 20:42:46,momo,remitted,Cape_Coast
AGT031,CUST0336,+233876340663,1798.81,2026-05-14 00:39:54,momo,remitted,Accra
AGT030,CUST0434,+233210670867,811.05,2026-01-03 11:49:31,momo,remitted,Cape_Coast
AGT042,CUST0234,+233645849901,667.05,2026-01-06 05:40:21,cash,remitted,Cape_Coast
AGT035,CUST0380,+233248009977,41.41,2026-01-05 19:57:17,momo,remitted,Tamale
AGT007,CUST0375,+233933404427,1656.57,2026-02-17 22:26:00,cash,remitted,Accra
AGT016,CUST0008,+233739073808,1605.94,2026-02-04 14:24:27,momo,missed,Cape_Coast
AGT026,CUST0498,+233955180146,226.82,2026-03-18 08:23:20,cash,remitted,Kumasi
AGT048,CUST0341,+233155415449,1162.18,2026-05-06 23:45:02,bank_transfer,remitted,Accra
AGT049,CUST0129,+233502319979,938.68,2026-02-14 23:48:09,cash,remitted,Kumasi
AGT002,CUST0264,+233119847987,255.04,2026-04-27 11:09:59,cash,remitted,Takoradi
AGT001,CUST0157,+233587682911,1961.53,2026-02-19 12:24:08,momo,remitted,Cape_Coast
AGT048,CUST0352,+233481099006,445.1,2026-05-05 09:18:44,momo,missed,Accra
AGT012,CUST0358,+233325260214,153.12,2026-04-26 16:14:24,cash,remitted,Kumasi
AGT005,CUST0005,+233638287865,1197.8,2026-06-01 01:06:17,momo,missed,Cape_Coast
AGT037,CUST0495,+233253689189,1482.96,2026-04-11 17:46:01,momo,remitted,Tamale
AGT032,CUST0086,+233196396874,84.24,2026-01-16 23:45:49,bank_transfer,remitted,Kumasi
AGT009,CUST0175,+233972836512,1324.26,2026-02-14 08:59:51,momo,remitted,Kumasi
AGT041,CUST0290,+233369344701,1073.94,2026-03-24 10:00:01,cash,remitted,Takoradi
AGT035,CUST0193,+233150672855,224.46,2026-01-13 22:27:23,cash,remitted,Tamale
AGT019,CUST0311,+233921299606,361.6,2026-01-06 06:21:12,bank_transfer,pending,Takoradi
AGT048,CUST0119,+233686437006,1144.59,2026-04-27 03:26:48,momo,pending,Tamale
AGT016,CUST0218,+233554215578,606.79,2026-05-27 10:03:26,cash,pending,Kumasi
AGT003,CUST0427,+233148427722,1877.87,2025-12-31 18:59:21,cash,pending,Takoradi
