agent_id,customer_id,customer_phone,amount,timestamp,payment_method,remittance_status,branch,language_pref,remittance_delay_hours,cash_ratio,deviation_from_agent_mean,missed_consecutive_count,is_fraud
AGT002,CUST0055,+233696447794,929.98,2026-05-20 05:38:28,momo,missed,Cape_Coast,twi,227,0.5238,-149.4,1,0
AGT020,CUST0238,+233801312117,626.8,2026-03-26 17:32:30,momo,remitted,Cape_Coast,twi,0,0.4412,-411.05,0,0
AGT028,CUST0356,+233597089224,1648.31,2026-03-14 03:18:22,bank_transfer,pending,Tamale,dagbani,312,0.5116,633.27,0,0
AGT047,CUST0173,+233583499384,132.82,2026-06-22 12:53:21,cash,pending,Takoradi,english,485,0.5,-839.25,0,0
AGT007,CUST0392,+233762806054,848.84,2026-07-28 11:29:06,cash,remitted,Takoradi,dagbani,0,0.625,-209.02,0,0
AGT044,CUST0221,+233631281435,927.69,2026-04-26 16:50:16,cash,remitted,Accra,english,0,0.5366,56.89,0,0
AGT008,CUST0119,+233838083586,1455.51,2026-07-03 17:52:34,momo,remitted,Takoradi,twi,0,0.4884,317.4,0,0
AGT047,CUST0309,+233692177605,1157.09,2026-06-29 10:23:02,cash,remitted,Takoradi,english,0,0.5,185.02,0,0
AGT035,CUST0183,+233617794458,1341.08,2026-03-20 15:35:51,momo,remitted,Takoradi,dagbani,0,0.6122,325.09,0,0
AGT014,CUST0288,+233754781953,1558.56,2026-04-12 07:14:03,momo,missed,Kumasi,twi,632,0.4595,656.78,1,0
AGT017,CUST0307,+233228812636,1727.16,2026-05-26 22:47:48,bank_transfer,remitted,Accra,english,0,0.5,723.57,0,0
AGT036,CUST0300,+233385374117,641.47,2026-06-09 16:04:57,bank_transfer,missed,Tamale,twi,196,0.4872,-381.31,1,0
AGT050,CUST0082,+233439378562,1085.28,2026-07-16 04:10:07,cash,pending,Takoradi,english,324,0.5455,189.72,0,0
AGT040,CUST0454,+233245889167,1683.41,2026-06-15 20:41:17,cash,remitted,Kumasi,dagbani,0,0.6222,706.15,0,0
AGT004,CUST0402,+233710474279,1979.11,2026-04-29 03:35:36,momo,missed,Takoradi,twi,623,0.4412,937.05,1,0
AGT002,CUST0211,+233400701953,1781.25,2026-07-01 02:15:11,cash,remitted,Kumasi,english,0,0.5238,701.87,0,0
AGT006,CUST0150,+233150279504,755.51,2026-08-01 12:26:37,cash,missed,Accra,english,552,0.5135,-205.23,1,0
AGT042,CUST0037,+233937013416,406.43,2026-08-07 10:30:15,momo,remitted,Takoradi,english,0,0.5312,-558.41,0,0
AGT004,CUST0352,+233838881533,989.0,2026-08-04 22:23:12,cash,remitted,Kumasi,twi,0,0.4412,-53.06,0,0
AGT029,CUST0312,+233239555083,1488.45,2026-06-19 00:48:12,momo,remitted,Cape_Coast,english,0,0.38,535.21,0,0
AGT018,CUST0361,+233293448354,995.29,2026-04-09 05:07:51,momo,remitted,Cape_Coast,twi,0,0.4722,25.01,0,0
AGT026,CUST0059,+233954067434,976.7,2026-06-18 18:31:37,cash,remitted,Kumasi,dagbani,0,0.4182,-245.54,0,0
AGT044,CUST0131,+233462462518,1679.7,2026-03-02 05:35:02,cash,remitted,Takoradi,english,0,0.5366,808.9,0,0
AGT034,CUST0412,+233431570988,735.58,2026-03-13 05:42:02,cash,remitted,Takoradi,dagbani,0,0.5581,-258.51,0,0
AGT010,CUST0202,+233741533902,1722.39,2026-07-20 08:06:15,momo,missed,Accra,twi,163,0.4,582.91,1,0
AGT036,CUST0243,+233287857881,825.47,2026-04-11 11:15:21,cash,remitted,Accra,english,0,0.4872,-197.31,0,0
AGT014,CUST0035,+233787773028,669.9,2026-06-16 04:30:02,bank_transfer,remitted,Tamale,twi,0,0.4595,-231.88,0,0
AGT031,CUST0445,+233628295124,918.9,2026-02-13 20:24:04,cash,remitted,Accra,twi,0,0.6207,28.87,0,0
AGT048,CUST0093,+233349205309,1529.64,2026-02-20 19:15:41,cash,pending,Takoradi,twi,301,0.4375,580.31,0,0
AGT015,CUST0438,+233351867184,269.48,2026-03-21 20:10:34,cash,missed,Tamale,english,686,0.4872,-558.46,1,0
AGT008,CUST0447,+233500150750,408.91,2026-06-22 23:52:21,cash,remitted,Accra,english,0,0.4884,-729.2,0,0
AGT014,CUST0207,+233386573975,1903.86,2026-04-21 08:00:47,cash,remitted,Kumasi,dagbani,0,0.4595,1002.08,0,0
AGT023,CUST0353,+233754087672,367.47,2026-07-05 14:03:21,momo,remitted,Cape_Coast,twi,0,0.5349,-529.34,0,0
AGT040,CUST0391,+233389414437,1144.1,2026-04-20 20:04:14,momo,remitted,Accra,twi,0,0.6222,166.84,0,0
AGT021,CUST0332,+233510617627,1167.04,2026-05-24 02:14:37,cash,missed,Accra,english,534,0.5758,17.6,1,0
AGT016,CUST0305,+233690096660,989.46,2026-06-30 04:58:48,cash,remitted,Kumasi,dagbani,0,0.4688,41.31,0,0
AGT045,CUST0350,+233926750389,1296.6,2026-06-21 16:49:06,momo,missed,Takoradi,dagbani,369,0.4444,234.62,1,0
AGT018,CUST0213,+233537404778,475.06,2026-07-04 15:11:43,momo,remitted,Kumasi,english,0,0.4722,-495.22,0,0
AGT047,CUST0159,+233872798097,1114.27,2026-03-17 04:32:21,cash,missed,Accra,english,163,0.5,142.2,1,0
AGT024,CUST0442,+233760986275,756.9,2026-07-01 15:19:32,momo,remitted,Takoradi,dagbani,0,0.5111,-310.42,0,0
AGT026,CUST0445,+233842885986,1330.1,2026-02-26 09:54:18,cash,missed,Tamale,dagbani,137,0.4182,107.86,1,0
AGT025,CUST0024,+233433352364,299.62,2026-03-09 16:35:00,momo,missed,Accra,twi,603,0.4375,-666.18,1,0
AGT045,CUST0404,+233209011318,1150.34,2026-03-07 23:06:45,cash,missed,Kumasi,dagbani,530,0.4444,88.36,1,0
AGT041,CUST0293,+233282683720,386.84,2026-05-10 00:41:53,cash,remitted,Tamale,twi,0,0.6667,-491.26,0,0
AGT029,CUST0004,+233341864628,571.71,2026-05-25 15:23:07,bank_transfer,remitted,Cape_Coast,english,0,0.38,-381.53,0,0
AGT015,CUST0220,+233579930341,453.05,2026-03-31 04:50:44,cash,remitted,Tamale,twi,0,0.4872,-374.89,0,0
AGT045,CUST0364,+233267439993,382.02,2026-05-19 21:00:55,momo,remitted,Kumasi,twi,0,0.4444,-679.96,0,0
AGT001,CUST0382,+233487773469,1654.91,2026-03-27 08:30:38,cash,remitted,Tamale,dagbani,0,0.525,557.5,0,0
AGT025,CUST0020,+233943615419,585.7,2026-04-13 16:48:39,momo,remitted,Kumasi,english,0,0.4375,-380.1,0,0
AGT007,CUST0444,+233307791969,1855.71,2026-04-01 14:34:18,bank_transfer,remitted,Accra,twi,0,0.625,797.85,0,0
AGT009,CUST0152,+233676554783,1940.45,2026-06-15 21:01:37,cash,remitted,Takoradi,dagbani,0,0.4595,824.27,0,0
AGT024,CUST0050,+233411051714,1151.1,2026-03-06 04:14:53,momo,remitted,Cape_Coast,english,0,0.5111,83.78,0,0
AGT001,CUST0177,+233959523266,303.14,2026-05-23 23:53:04,momo,remitted,Takoradi,english,0,0.525,-794.27,0,0
AGT044,CUST0435,+233561976731,761.61,2026-03-11 04:53:58,momo,remitted,Takoradi,dagbani,0,0.5366,-109.19,0,0
AGT008,CUST0096,+233440446379,1599.51,2026-05-11 08:35:45,momo,remitted,Takoradi,twi,0,0.4884,461.4,0,0
AGT024,CUST0105,+233815692878,747.43,2026-08-08 19:01:00,bank_transfer,remitted,Kumasi,twi,0,0.5111,-319.89,0,0
AGT011,CUST0420,+233140162344,192.29,2026-05-13 15:28:36,cash,remitted,Kumasi,dagbani,0,0.3171,-671.34,0,0
AGT017,CUST0250,+233877325630,1122.43,2026-06-05 07:54:47,cash,missed,Cape_Coast,english,389,0.5,118.84,2,0
AGT008,CUST0117,+233524658966,1693.34,2026-06-22 12:15:44,bank_transfer,missed,Kumasi,dagbani,714,0.4884,555.23,1,0
AGT035,CUST0354,+233395780711,1595.93,2026-05-09 04:06:49,momo,missed,Kumasi,twi,660,0.6122,579.94,1,1
AGT035,CUST0228,+233699800906,366.74,2026-06-11 11:14:11,cash,missed,Kumasi,twi,420,0.6122,-649.25,1,1
AGT033,CUST0066,+233453040943,1352.07,2026-04-27 18:22:54,momo,remitted,Kumasi,twi,0,0.4151,362.69,0,0
AGT005,CUST0335,+233152869791,456.6,2026-06-03 00:54:02,momo,remitted,Accra,dagbani,0,0.4048,-439.38,0,0
AGT042,CUST0418,+233620431609,452.05,2026-07-04 14:43:37,cash,remitted,Cape_Coast,english,0,0.5312,-512.79,0,0
AGT039,CUST0420,+233615620858,1750.66,2026-03-30 17:30:49,cash,remitted,Kumasi,english,0,0.5349,844.25,0,0
AGT041,CUST0262,+233534110264,514.34,2026-07-23 21:17:55,momo,remitted,Cape_Coast,english,0,0.6667,-363.76,0,0
AGT028,CUST0295,+233217769333,541.23,2026-07-19 12:53:35,cash,remitted,Tamale,english,0,0.5116,-473.81,0,0
AGT007,CUST0426,+233982984547,21.29,2026-05-20 15:26:53,momo,remitted,Accra,twi,0,0.625,-1036.57,0,0
AGT009,CUST0243,+233714069627,1743.92,2026-05-13 19:50:29,momo,remitted,Kumasi,dagbani,0,0.4595,627.74,0,0
AGT008,CUST0371,+233909193376,1589.34,2026-08-04 04:37:18,cash,pending,Accra,dagbani,682,0.4884,451.23,0,0
AGT012,CUST0186,+233210864279,1262.11,2026-03-17 00:47:50,cash,remitted,Accra,english,0,0.55,332.41,0,0
AGT034,CUST0246,+233634950566,1505.53,2026-04-27 08:38:58,cash,remitted,Tamale,twi,0,0.5581,511.44,0,0
AGT033,CUST0125,+233150171169,321.06,2026-03-25 10:18:49,cash,remitted,Cape_Coast,twi,0,0.4151,-668.32,0,0
AGT048,CUST0268,+233816659127,927.48,2026-05-06 07:56:48,momo,remitted,Accra,english,0,0.4375,-21.85,0,0
AGT023,CUST0131,+233811368347,715.41,2026-05-26 13:33:13,cash,remitted,Takoradi,dagbani,0,0.5349,-181.4,0,0
AGT024,CUST0237,+233875367588,205.68,2026-06-08 12:58:29,momo,missed,Tamale,dagbani,134,0.5111,-861.64,3,0
AGT037,CUST0018,+233725950726,982.54,2026-05-14 01:04:18,cash,remitted,Takoradi,dagbani,0,0.4898,-185.23,0,0
AGT035,CUST0040,+233712437187,1843.06,2026-07-20 16:10:17,cash,remitted,Tamale,english,0,0.6122,827.07,0,0
AGT044,CUST0021,+233292321956,99.32,2026-03-23 17:36:35,cash,remitted,Takoradi,twi,0,0.5366,-771.48,0,0
AGT040,CUST0399,+233701712183,597.09,2026-04-07 18:38:29,cash,remitted,Takoradi,english,0,0.6222,-380.17,0,0
AGT022,CUST0225,+233151139392,430.93,2026-02-24 22:30:25,cash,pending,Accra,english,381,0.5366,-521.08,0,0
AGT027,CUST0355,+233511790528,491.53,2026-08-04 01:43:29,cash,remitted,Accra,twi,0,0.5161,-258.94,0,0
AGT035,CUST0282,+233944581422,1818.7,2026-05-15 11:40:53,bank_transfer,pending,Tamale,dagbani,261,0.6122,802.71,0,1
AGT001,CUST0008,+233763399571,946.78,2026-06-12 10:45:28,momo,missed,Cape_Coast,dagbani,26,0.525,-150.63,1,0
AGT035,CUST0100,+233485554194,943.27,2026-05-02 08:31:57,cash,missed,Accra,dagbani,427,0.6122,-72.72,1,1
AGT037,CUST0240,+233209297308,1525.94,2026-04-20 13:08:51,cash,remitted,Accra,dagbani,0,0.4898,358.17,0,0
AGT047,CUST0478,+233174042569,325.89,2026-05-19 19:53:47,cash,remitted,Kumasi,english,0,0.5,-646.18,0,0
AGT014,CUST0087,+233726302395,984.79,2026-05-13 06:05:45,cash,remitted,Accra,twi,0,0.4595,83.01,0,0
AGT003,CUST0298,+233653665425,871.37,2026-05-21 09:40:14,cash,remitted,Cape_Coast,english,0,0.5122,-86.98,0,0
AGT001,CUST0428,+233687991003,1201.88,2026-04-11 18:10:24,cash,pending,Kumasi,english,48,0.525,104.47,0,0
AGT005,CUST0014,+233128820898,1999.12,2026-06-27 10:42:41,cash,pending,Takoradi,twi,532,0.4048,1103.14,0,0
AGT026,CUST0334,+233489141930,1543.51,2026-05-16 14:58:45,cash,pending,Takoradi,twi,719,0.4182,321.27,0,0
AGT014,CUST0002,+233683576558,807.77,2026-03-18 09:13:21,cash,pending,Kumasi,twi,488,0.4595,-94.01,0,0
AGT039,CUST0375,+233408000222,1658.56,2026-02-28 23:59:30,cash,remitted,Kumasi,english,0,0.5349,752.15,0,0
AGT027,CUST0293,+233279187162,358.0,2026-04-24 12:20:34,momo,remitted,Kumasi,english,0,0.5161,-392.47,0,0
AGT009,CUST0325,+233785600893,80.32,2026-05-16 00:55:02,cash,remitted,Tamale,english,0,0.4595,-1035.86,0,0
AGT015,CUST0422,+233512268938,424.81,2026-04-19 02:33:28,cash,missed,Cape_Coast,english,84,0.4872,-403.13,1,0
AGT015,CUST0493,+233362927152,694.01,2026-03-21 16:10:15,momo,pending,Cape_Coast,english,531,0.4872,-133.93,0,0
AGT026,CUST0041,+233534908016,1030.95,2026-04-17 12:18:44,bank_transfer,remitted,Takoradi,twi,0,0.4182,-191.29,0,0
AGT042,CUST0318,+233860727333,1237.96,2026-06-30 20:54:50,bank_transfer,pending,Takoradi,dagbani,146,0.5312,273.12,0,0
AGT013,CUST0316,+233517210943,1823.0,2026-07-20 21:09:51,momo,pending,Takoradi,twi,520,0.4054,755.92,0,0
AGT032,CUST0381,+233554318404,1029.51,2026-03-21 05:00:11,cash,missed,Accra,twi,78,0.5319,1.84,1,0
AGT039,CUST0111,+233233510535,1012.53,2026-06-16 02:41:38,momo,pending,Takoradi,english,186,0.5349,106.12,0,0
AGT049,CUST0014,+233592176289,119.48,2026-03-30 00:18:10,momo,remitted,Kumasi,dagbani,0,0.48,-924.71,0,0
AGT032,CUST0231,+233493948847,89.12,2026-07-27 19:06:16,cash,remitted,Takoradi,english,0,0.5319,-938.55,0,0
AGT004,CUST0473,+233444548791,1111.3,2026-03-13 06:34:38,momo,remitted,Kumasi,dagbani,0,0.4412,69.24,0,0
AGT030,CUST0084,+233356359909,887.59,2026-03-25 13:16:23,bank_transfer,remitted,Tamale,dagbani,0,0.381,-26.16,0,0
AGT037,CUST0130,+233976180288,1681.58,2026-05-24 12:47:01,cash,remitted,Accra,dagbani,0,0.4898,513.81,0,0
AGT023,CUST0231,+233552084766,338.15,2026-07-18 13:00:10,cash,remitted,Accra,english,0,0.5349,-558.66,0,0
AGT039,CUST0326,+233908631683,69.44,2026-05-16 08:01:54,cash,pending,Cape_Coast,twi,62,0.5349,-836.97,0,0
AGT045,CUST0145,+233818804592,909.1,2026-03-11 09:23:36,cash,remitted,Tamale,english,0,0.4444,-152.88,0,0
AGT015,CUST0379,+233703670380,490.21,2026-02-21 00:03:12,cash,missed,Kumasi,english,720,0.4872,-337.73,2,0
AGT043,CUST0345,+233218269303,118.24,2026-05-08 23:17:02,momo,remitted,Tamale,english,0,0.3448,-794.85,0,0
AGT029,CUST0028,+233123429562,1454.7,2026-05-13 09:46:55,momo,remitted,Accra,dagbani,0,0.38,501.46,0,0
AGT036,CUST0066,+233237064002,240.95,2026-02-14 17:28:19,cash,remitted,Kumasi,dagbani,0,0.4872,-781.83,0,0
AGT013,CUST0163,+233683209516,1224.47,2026-04-18 10:54:45,bank_transfer,remitted,Tamale,english,0,0.4054,157.39,0,0
AGT032,CUST0229,+233676413443,576.48,2026-07-07 10:00:19,cash,remitted,Accra,twi,0,0.5319,-451.19,0,0
AGT007,CUST0261,+233526499737,363.52,2026-07-12 19:47:45,cash,remitted,Kumasi,dagbani,0,0.625,-694.34,0,0
AGT022,CUST0449,+233267486618,771.91,2026-06-06 14:22:18,momo,remitted,Kumasi,twi,0,0.5366,-180.1,0,0
AGT028,CUST0424,+233997064365,1606.86,2026-05-20 05:15:11,momo,remitted,Accra,english,0,0.5116,591.82,0,0
AGT002,CUST0460,+233232954101,796.35,2026-07-17 09:38:18,momo,remitted,Kumasi,twi,0,0.5238,-283.03,0,0
AGT042,CUST0440,+233854356586,1506.52,2026-03-23 01:40:55,bank_transfer,pending,Accra,dagbani,106,0.5312,541.68,0,0
AGT045,CUST0164,+233692648639,268.46,2026-02-19 20:56:47,momo,remitted,Takoradi,twi,0,0.4444,-793.52,0,0
AGT006,CUST0301,+233805019866,1550.09,2026-04-29 06:28:07,bank_transfer,remitted,Takoradi,dagbani,0,0.5135,589.35,0,0
AGT028,CUST0407,+233787301865,489.13,2026-07-25 18:42:18,cash,pending,Kumasi,twi,569,0.5116,-525.91,0,0
AGT028,CUST0303,+233724635442,1361.24,2026-07-17 16:10:38,momo,remitted,Kumasi,english,0,0.5116,346.2,0,0
AGT044,CUST0287,+233200296497,1140.25,2026-04-20 22:25:41,bank_transfer,missed,Accra,english,136,0.5366,269.45,2,0
AGT044,CUST0395,+233371468805,1859.71,2026-04-07 06:45:12,momo,pending,Kumasi,english,448,0.5366,988.91,0,0
AGT020,CUST0010,+233126687290,786.9,2026-04-12 19:38:50,cash,pending,Cape_Coast,twi,253,0.4412,-250.95,0,0
AGT030,CUST0195,+233731625852,151.01,2026-03-05 22:58:36,momo,remitted,Takoradi,english,0,0.381,-762.74,0,0
AGT011,CUST0118,+233995599502,57.93,2026-03-03 23:50:55,momo,pending,Kumasi,dagbani,306,0.3171,-805.7,0,0
AGT028,CUST0270,+233268555037,1657.18,2026-07-28 23:23:18,cash,pending,Kumasi,twi,310,0.5116,642.14,0,0
AGT025,CUST0080,+233658550953,1058.98,2026-03-20 14:55:17,bank_transfer,remitted,Tamale,dagbani,0,0.4375,93.18,0,0
AGT039,CUST0458,+233744602340,1554.98,2026-03-06 01:39:53,cash,remitted,Kumasi,dagbani,0,0.5349,648.57,0,0
AGT033,CUST0093,+233467134841,484.16,2026-06-23 09:48:04,cash,remitted,Cape_Coast,dagbani,0,0.4151,-505.22,0,0
AGT001,CUST0266,+233598813052,703.27,2026-07-04 22:40:35,bank_transfer,pending,Takoradi,dagbani,178,0.525,-394.14,0,0
AGT027,CUST0332,+233617101092,79.61,2026-07-31 13:25:40,cash,remitted,Tamale,twi,0,0.5161,-670.86,0,0
AGT013,CUST0350,+233984414633,1923.75,2026-08-09 03:59:59,cash,pending,Accra,english,188,0.4054,856.67,0,0
AGT041,CUST0361,+233636027259,1342.38,2026-03-15 15:27:29,momo,remitted,Accra,dagbani,0,0.6667,464.28,0,0
AGT003,CUST0257,+233374734948,1867.75,2026-04-07 18:30:08,momo,pending,Takoradi,dagbani,205,0.5122,909.4,0,0
AGT039,CUST0133,+233694439254,545.68,2026-06-27 02:43:01,cash,remitted,Accra,dagbani,0,0.5349,-360.73,0,0
AGT006,CUST0276,+233933772165,1230.7,2026-07-31 03:59:01,bank_transfer,remitted,Cape_Coast,twi,0,0.5135,269.96,0,0
AGT008,CUST0264,+233542136259,1363.43,2026-08-03 15:08:07,momo,remitted,Kumasi,twi,0,0.4884,225.32,0,0
AGT027,CUST0171,+233429455611,648.75,2026-04-03 10:01:56,momo,remitted,Takoradi,english,0,0.5161,-101.72,0,0
AGT009,CUST0460,+233294910408,1699.26,2026-04-19 11:59:41,momo,remitted,Tamale,twi,0,0.4595,583.08,0,0
AGT037,CUST0001,+233478823452,1895.38,2026-05-13 09:35:53,momo,remitted,Kumasi,english,0,0.4898,727.61,0,0
AGT033,CUST0313,+233264950092,1772.01,2026-03-26 17:43:43,cash,remitted,Accra,english,0,0.4151,782.63,0,0
AGT042,CUST0064,+233559034682,1483.35,2026-04-24 20:25:06,cash,missed,Accra,twi,262,0.5312,518.51,1,0
AGT044,CUST0374,+233751049597,569.38,2026-03-24 11:02:06,momo,pending,Tamale,twi,672,0.5366,-301.42,0,0
AGT024,CUST0468,+233699070195,577.6,2026-04-10 14:25:13,momo,remitted,Cape_Coast,english,0,0.5111,-489.72,0,0
AGT015,CUST0284,+233232876176,1927.45,2026-06-24 09:24:14,cash,remitted,Tamale,dagbani,0,0.4872,1099.51,0,0
AGT032,CUST0121,+233682019180,40.36,2026-06-19 18:03:54,momo,remitted,Takoradi,dagbani,0,0.5319,-987.31,0,0
AGT032,CUST0107,+233488209647,1437.78,2026-04-09 19:12:42,momo,pending,Tamale,twi,362,0.5319,410.11,0,0
AGT024,CUST0421,+233201098773,1418.37,2026-04-10 18:29:58,cash,remitted,Accra,twi,0,0.5111,351.05,0,0
AGT041,CUST0175,+233277844291,1252.93,2026-02-25 19:43:37,cash,remitted,Cape_Coast,dagbani,0,0.6667,374.83,0,0
AGT049,CUST0485,+233762047908,1980.42,2026-07-16 04:35:10,cash,remitted,Cape_Coast,english,0,0.48,936.23,0,0
AGT049,CUST0204,+233330689072,637.52,2026-03-19 05:05:58,momo,pending,Tamale,twi,535,0.48,-406.67,0,0
AGT012,CUST0165,+233238545036,693.14,2026-08-02 10:29:31,cash,remitted,Takoradi,english,0,0.55,-236.56,0,0
AGT039,CUST0305,+233279120801,176.3,2026-04-27 01:18:17,cash,pending,Accra,english,289,0.5349,-730.11,0,0
